gallery_pt,query_pt,gallery_csv,query_csv,g_x_col,g_y_col,q_x_col,q_y_col,success_radius_m,w_vis,window_size,formation_offset,top_k,epsilon_m,sigma,w_geo,w_angle,w_skip,r1,r5,r10,c1,c5,c10,improvement
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,57.70065075921909,65.29284164859001,68.11279826464208,21.908893709327543
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.0,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.70065075921909,65.29284164859001,68.11279826464208,21.908893709327543
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,57.26681127982647,64.42516268980476,67.67895878524945,21.475054229934926
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.0,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.26681127982647,64.64208242950107,68.11279826464208,21.475054229934926
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.26681127982647,65.29284164859001,68.32971800433839,21.475054229934926
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.04989154013015,64.64208242950107,68.11279826464208,21.258134490238604
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,1.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,57.04989154013015,65.0759219088937,68.11279826464208,21.258134490238604
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,100.0,1.5,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.83297180043384,65.29284164859001,68.11279826464208,21.041214750542295
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,300.0,150.0,1.0,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.83297180043384,65.0759219088937,68.11279826464208,21.041214750542295
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,100.0,1.5,1.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,56.61605206073753,64.64208242950107,67.89587852494577,20.824295010845987
